text,label
Sweet Potato Fries,dish
Baked Potato,dish
Inclusive,not_dish
Table Number,not_dish
Paneer Do Pyaza,dish
Chicken Shashlik,dish
Set Menu,not_dish
Fish Tikka,dish
No Reservation,not_dish
Matka Biryani,dish
Chicken Clear Soup,dish
Rice Papad,dish
01234,not_dish
Hara Bhara Kebab,dish
Dal Dhokli,dish
Butter Milk,dish
Chana Masala,dish
Ghee Roast Dosa,dish
Lamb Biryani,dish
Soup,not_dish
Sambar Rice,dish
Achari Paneer,dish
Malpua,dish
Egg Biryani,dish
Deluxe,not_dish
No Change Given,not_dish
Paneer Malai Tikka,dish
Aam Ras,dish
Out for Delivery,not_dish
Veggie Sub,dish
MRP,not_dish
Festival Offer,not_dish
Ladies Night,not_dish
Egg Curry,dish
Edit Order,not_dish
Rewards,not_dish
Beef Stroganoff,dish
Paid Seats,not_dish
Membership,not_dish
Corn Cheese Balls,dish
Doi Maach,dish
Chole Bhature,dish
Soft Drinks,not_dish
Hot,not_dish
Kaju Curry,dish
Try Me,not_dish
Spinach Cannelloni,dish
One by Two,not_dish
Spinach Corn Curry,dish
Desserts,not_dish
Vegetable Enchiladas,dish
Mysore Pak,dish
Egg Chilli,dish
Tomato Rice,dish
Veg Momos,dish
Kheer,dish
Palak Soup,dish
Tuna Melt,dish
Digital Menu,not_dish
Outlet,not_dish
Fish Moilee,dish
Chicken Sizzler,dish
Chicken Kathi Roll,dish
Non-Veg Only,not_dish
Dal Palak,dish
Pumpkin Soup,dish
Chicken Soup,dish
Cornbread,dish
Chingri Malai Curry,dish
Extra Sauce,not_dish
Paya Soup,dish
Show More,not_dish
Hazelnut Torte,dish
Nethili Fry,dish
Pineapple Rasam,dish
Sausage Roll,dish
Chicken Malai Tikka,dish
Non-Veg,not_dish
Cocktail Hour,not_dish
Chatpata Corn,dish
Pre-Service,not_dish
Sweet Corn Soup,dish
E-Coupon,not_dish
Roasted Chicken,dish
Sheer Kurma,dish
--,not_dish
Chicken Caesar Wrap,dish
Rooftop Dining,not_dish
Sambhar Vada,dish
Jhalmuri,dish
Order Confirmed,not_dish
Pickup Slot,not_dish
Sunday Closed,not_dish
Nargisi Kofta,dish
Paneer Bhurji,dish
Paneer Frankie,dish
Chicken Chettinad,dish
Peanut Butter Cookie,dish
Offer Ends,not_dish
Methi Malai Paneer,dish
Paneer Butter Masala,dish
Page 2,not_dish
No Onion No Garlic,not_dish
Dal Tadka,dish
No Entry,not_dish
Thank You,not_dish
Show Less,not_dish
Entry Restricted,not_dish
Prawn Masala,dish
Welcome!,not_dish
Lemon Tart,dish
Best Taste,not_dish
Kala Jamun,dish
Chicken Lollipop,dish
Prawn Masala,dish
Bruschetta,dish
Add-ons,not_dish
Chicken Philly Sandwich,dish
Lamb Rogan Josh,dish
Prawn Koliwada,dish
Salami Pizza,dish
Parsi Sali Boti,dish
Free WiFi,not_dish
Takeaway Only,not_dish
Fried Chicken,dish
Dry Day,not_dish
Focaccia,dish
Bottle Water,not_dish
Table 8,not_dish
Chicken Shawarma,dish
Sol Kadhi,dish
Fruit Custard,dish
Teriyaki Chicken,dish
Chettinad Fish,dish
French Toast,dish
Veg Fried Rice,dish
Mughlai Paratha,dish
Rice Add-on,not_dish
Seats Available,not_dish
Spinach Soup,dish
Under ₹200,not_dish
Order Limit,not_dish
Cottage Pie,dish
Holiday Offer,not_dish
Paneer Lababdar,dish
Chocolate Croissant,dish
Pancakes,dish
Veg Only,not_dish
Open Daily,not_dish
Veg Pulao,dish
Pumpkin Pie,dish
Frankie Roll,dish
Appetizers,not_dish
Full House,not_dish
Under Maintenance,not_dish
Red Velvet Cupcake,dish
Tuna Sandwich,dish
Friend Referral,not_dish
Pav Bhaji,dish
Family Pack,not_dish
Amount Payable,not_dish
Security,not_dish
250g,not_dish
Spring Onion Soup,dish
Vegetable Korma,dish
Home Special,not_dish
Mushroom Risotto,dish
Service Staff,not_dish
Lunch Buffet,not_dish
No Service,not_dish
Kesar Pista Kulfi,dish
Coupon Code,not_dish
A3,not_dish
15% Off,not_dish
Kofta Curry,dish
Green Peas Curry,dish
EMI Offer,not_dish
Fried Squid,dish
Kashmiri Dum Aloo,dish
Order Online,not_dish
Chicken Cafreal,dish
GST 18%,not_dish
BYOB,not_dish
Sabudana Khichdi,dish
Bill Counter,not_dish
Ready to Serve,not_dish
Mushroom Masala,dish
Spinach Ravioli,dish
Margherita Flatbread,dish
Egg Benedict,dish
Zunka Bhakri,dish
Makki di Roti,dish
Chicken Korma,dish
On Request,not_dish
Waiting List,not_dish
Gajar Halwa,dish
Kid Friendly,not_dish
Egg Curry Goan,dish
Combo Offer,not_dish
Tandoori Roti,dish
No Service Tax,not_dish
Batata Vada,dish
Mango Pickle,dish
Closed,not_dish
Above ₹500,not_dish
Khar,dish
Patal Bhaji,dish
